time bd_pulse
0.000000000000000000e+00 3.022668431163079416e-20
7.432686698271349657e-12 1.497000593563609958e-05
1.486537339654269931e-11 3.597576013879189743e-05
2.229806009481409905e-11 6.449116041902490935e-05
2.973074679308539863e-11 1.022030308870930105e-04
3.716343349135679514e-11 1.510090748888559846e-04
4.459612018962810117e-11 2.130049090520349912e-04
5.202880688789949768e-11 2.904570821880670490e-04
5.946149358617079725e-11 3.857586578082220527e-04
6.689418028444220669e-11 5.013636823401970439e-04
7.432686698271349980e-11 6.396967062258659097e-04
8.175955368098490923e-11 8.030335096870390823e-04
8.919224037925620234e-11 9.933493502229308759e-04
9.662492707752759885e-11 1.212131438118990061e-03
1.040576137757990212e-10 1.460153002998919747e-03
1.114903004740700041e-10 1.737207280392450088e-03
1.189229871723420081e-10 2.041801059367420040e-03
1.263556738706129910e-10 2.370809119511049692e-03
1.337883605688839998e-10 2.719092965458549688e-03
1.412210472671560167e-10 3.079089741909389957e-03
1.486537339654269996e-10 3.440380064475259594e-03
1.560864206636979825e-10 3.789246691430389526e-03
1.635191073619699994e-10 4.108239421464480144e-03
1.709517940602410082e-10 4.375765236303300054e-03
1.783844807585119911e-10 4.565726386506910664e-03
1.858171674567839821e-10 4.647232683690018934e-03
1.932498541550549909e-10 4.584417521424690237e-03
2.006825408533260255e-10 4.336389880396590221e-03
2.081152275515980424e-10 3.857356537783350556e-03
2.155479142498689995e-10 3.096949636985029709e-03
2.229806009481410422e-10 2.000794416022789752e-03
2.304132876464119993e-10 5.113499810480579217e-04
2.378459743446830339e-10 -1.430947694712739931e-03
2.452786610429549991e-10 -3.886217070828220429e-03
2.527113477412259820e-10 -6.913321016523879536e-03
2.601440344394970167e-10 -1.056770992561030000e-02
2.675767211377689819e-10 -1.489892473312819966e-02
2.750094078360399648e-10 -1.994778100506680238e-02
2.824420945343109994e-10 -2.574327155166099973e-02
2.898747812325829646e-10 -3.229924280232689821e-02
2.973074679308539992e-10 -3.961091897843979637e-02
3.047401546291250338e-10 -4.765136727700560598e-02
3.121728413273969990e-10 -5.636801607537270803e-02
3.196055280256680336e-10 -6.567935571489870450e-02
3.270382147239389648e-10 -7.547196676273540406e-02
3.344709014222110334e-10 -8.559803277264890764e-02
3.419035881204820164e-10 -9.587350243898509761e-02
3.493362748187539299e-10 -1.060770686640159916e-01
3.567689615170250162e-10 -1.159501285222380024e-01
3.642016482152960508e-10 -1.251978776285720130e-01
3.716343349135679643e-10 -1.334916744193399840e-01
3.790670216118390506e-10 -1.404727840046399723e-01
3.864997083101099818e-10 -1.457575775192680168e-01
3.939323950083820504e-10 -1.489442216012610010e-01
4.013650817066529299e-10 -1.496208444522139913e-01
4.087977684049239646e-10 -1.473751109626749989e-01
