time bd_pulse
0.000000000000000000e+00 3.019999999999999747e-20
3.916836000000000215e-12 1.250586699999999971e-05
7.833670999999999852e-12 2.930864899999999993e-05
1.175050700000000007e-11 5.131039700000000102e-05
1.566734199999999970e-11 7.952810400000000614e-05
1.958417799999999992e-11 1.150943119999999929e-04
2.350101299999999632e-11 1.592538519999999987e-04
2.741784899999999654e-11 2.133557330000000318e-04
3.133468499999999998e-11 2.788390660000000256e-04
3.525151999999999962e-11 3.572118349999999897e-04
3.916835599999999984e-11 4.500212540000000081e-04
4.308519099999999301e-11 5.588143839999999089e-04
4.700202699999999969e-11 6.850877020000000362e-04
5.091886299999999344e-11 8.302243220000000805e-04
5.483569799999999308e-11 9.954176559999999407e-04
5.875253400000000622e-11 1.181580459999999897e-03
6.266936900000000585e-11 1.389238410999999980e-03
6.658620499999999961e-11 1.618407673000000005e-03
7.050303999999999924e-11 1.868456284999999838e-03
7.441987599999999300e-11 2.137949686999999956e-03
7.833671199999999967e-11 2.424481278000000222e-03
8.225354699999999931e-11 2.724489578999999499e-03
8.617038300000000599e-11 3.033064353000000136e-03
9.008721800000000562e-11 3.343744888000000411e-03
9.400405399999999938e-11 3.648314628000000250e-03
9.792088899999999901e-11 3.936597330000000429e-03
1.018377250000000057e-10 4.196260998999999312e-03
1.057545609999999994e-10 4.412636941999999868e-03
1.096713959999999862e-10 4.568562341999999471e-03
1.135882319999999928e-10 4.644255782999999818e-03
1.175050669999999925e-10 4.617236066999999555e-03
1.214219029999999991e-10 4.462295449000000178e-03
1.253387390000000058e-10 4.151538988000000145e-03
1.292555740000000184e-10 3.654502048000000253e-03
1.331724099999999992e-10 2.938357966000000425e-03
1.370892449999999859e-10 1.968227574000000219e-03
1.410060809999999926e-10 7.076014499999999131e-04
1.449229159999999793e-10 -8.811154529999999478e-04
1.488397519999999860e-10 -2.835928959999999780e-03
1.527565879999999927e-10 -5.194445063999999536e-03
1.566734230000000052e-10 -7.992920880000000533e-03
1.605902590000000119e-10 -1.126517798000000077e-02
1.645070939999999986e-10 -1.504138282000000090e-02
1.684239300000000053e-10 -1.934670364999999809e-02
1.723407660000000120e-10 -2.419985792999999885e-02
1.762576010000000245e-10 -2.961156996000000041e-02
1.801744370000000054e-10 -3.558296357999999465e-02
1.840912719999999921e-10 -4.210392075000000262e-02
1.880081079999999988e-10 -4.915144223000000173e-02
1.919249430000000113e-10 -5.668805189999999439e-02
1.958417789999999921e-10 -6.466029143999998952e-02
1.997586149999999988e-10 -7.299735594000000827e-02
2.036754500000000114e-10 -8.160992473000000524e-02
2.075922860000000181e-10 -9.038924382000000646e-02
2.115091210000000306e-10 -9.920651748000000603e-02
2.154259570000000114e-10 -1.079126657000000211e-01
2.193427919999999723e-10 -1.163385023000000074e-01
2.232596280000000048e-10 -1.242953841000000031e-01
2.271764639999999857e-10 -1.315763759000000144e-01
2.310932989999999724e-10 -1.379579676999999893e-01
2.350101350000000308e-10 -1.432023709000000145e-01
2.389269699999999658e-10 -1.470604076999999787e-01
2.428438059999999983e-10 -1.492749948000000049e-01
2.467606419999999791e-10 -1.495852080999999778e-01
2.506774769999999658e-10 -1.477308955000000146e-01
2.545943129999999984e-10 -1.434577915000000148e-01
2.585111480000000368e-10 -1.365230661000000068e-01
2.624279840000000176e-10 -1.267012247999999841e-01
2.663448190000000043e-10 -1.137902569000000114e-01
2.702616549999999851e-10 -9.761791490999999210e-02
2.741784910000000177e-10 -7.804799206000000156e-02
2.780953260000000561e-10 -5.498645262000000089e-02
2.820121619999999852e-10 -2.838726046000000086e-02
2.859289970000000236e-10 1.742255502000000008e-03
2.898458330000000044e-10 3.533666225000000466e-02
2.937626679999999912e-10 7.226847184000000091e-02
2.976795039999999720e-10 1.123451340999999937e-01
3.015963400000000045e-10 1.553071173999999999e-01
3.055131750000000429e-10 2.008272060000000081e-01
3.094300110000000237e-10 2.485111220000000287e-01
3.133468460000000105e-10 2.978995564999999957e-01
3.172636819999999913e-10 3.484716626000000095e-01
3.211805180000000238e-10 3.996500353000000394e-01
3.250973530000000105e-10 4.508071643000000073e-01
3.290141889999999914e-10 5.012733108000000382e-01
3.329310239999999781e-10 5.503457220999999899e-01
3.368478600000000106e-10 5.972990584000000824e-01
3.407646949999999973e-10 6.413968717000000375e-01
3.446815310000000298e-10 6.819039400999999945e-01
3.485983670000000107e-10 7.180992311000000683e-01
3.525152020000000491e-10 7.492892422000000385e-01
3.564320379999999265e-10 7.748214416000001048e-01
3.603488729999999649e-10 7.940975214000000060e-01
3.642657089999999974e-10 8.065861652999999354e-01
3.681825450000000300e-10 8.118350313000000096e-01
3.720993799999999650e-10 8.094816582999999621e-01
3.760162159999999975e-10 7.992630207000001041e-01
3.799330510000000359e-10 7.810234753999999446e-01
3.838498870000000684e-10 7.547208779999999839e-01
3.877667220000000035e-10 7.204306798999999817e-01
3.916835579999999843e-10 6.783478622999999930e-01
3.956003939999999651e-10 6.287866079000000719e-01
3.995172289999999518e-10 5.721776654000000351e-01
4.034340649999999844e-10 5.090634131000000284e-01
4.073509000000000228e-10 4.400906824999999967e-01
4.112677360000000036e-10 3.660014593999999510e-01
4.151845709999999903e-10 2.876216270999999991e-01
4.191014070000000228e-10 2.058479686999999947e-01
4.230182429999999520e-10 1.216336870999999986e-01
4.269350779999999904e-10 3.597273807999999684e-02
4.308519140000000229e-10 -5.011669684999999624e-02
4.347687490000000096e-10 -1.356092510999999945e-01
4.386855849999999904e-10 -2.194895658000000360e-01
4.426024210000000230e-10 -3.007692703000000023e-01
4.465192560000000097e-10 -3.785033916000000165e-01
4.504360919999999905e-10 -4.518058474999999685e-01
4.543529270000000289e-10 -5.198637023000000079e-01
4.582697630000000097e-10 -5.819498952000000669e-01
4.621865979999999448e-10 -6.374341879999999572e-01
4.661034340000000290e-10 -6.857921259999999464e-01
4.700202700000000615e-10 -7.266118517000000887e-01
4.739371050000000482e-10 -7.595986662999999472e-01
4.778539409999999773e-10 -7.845772841000000497e-01
4.817707759999999641e-10 -8.014917847000000428e-01
4.856876119999999966e-10 -8.104033149000000602e-01
4.896044470000000867e-10 -8.114856488999999673e-01
4.935212830000000158e-10 -8.050187564999999879e-01
4.974381190000000484e-10 -7.913805756000000802e-01
5.013549539999999317e-10 -7.710372173999998635e-01
5.052717899999999642e-10 -7.445318628999999522e-01
5.091886249999999509e-10 -7.124726311000000312e-01
5.131054609999999834e-10 -6.755197106000000451e-01
5.170222970000000160e-10 -6.343720557999998899e-01
5.209391320000001061e-10 -5.897539421999999920e-01
5.248559680000000352e-10 -5.424016702999999717e-01
5.287728029999999185e-10 -4.930506883999999368e-01
5.326896389999999510e-10 -4.424233847999999858e-01
5.366064739999999377e-10 -3.912177686000000154e-01
5.405233099999999703e-10 -3.400972328000000378e-01
5.444401460000000028e-10 -2.896815519000000005e-01
5.483569809999999895e-10 -2.405392340999999989e-01
5.522738170000000220e-10 -1.931813085999999902e-01
5.561906520000001122e-10 -1.480565903999999933e-01
5.601074879999999379e-10 -1.055484300000000125e-01
5.640243229999999246e-10 -6.597291846000000182e-02
5.679411589999999571e-10 -2.957849000000000242e-02
5.718579949999999896e-10 3.453167437000000031e-03
5.757748299999999764e-10 3.300500463000000106e-02
5.796916660000000089e-10 5.902143834999999672e-02
5.836085010000000990e-10 8.150426000000000892e-02
5.875253370000000281e-10 1.005077823999999953e-01
5.914421730000000607e-10 1.161333868000000019e-01
5.953590079999999440e-10 1.285236340000000255e-01
5.992758439999999765e-10 1.378560990999999902e-01
6.031926789999999632e-10 1.443370843000000014e-01
6.071095149999999957e-10 1.481953522999999995e-01
6.110263500000000858e-10 1.496760105999999924e-01
6.149431860000000150e-10 1.490346633000000087e-01
6.188600220000000475e-10 1.465319284000000111e-01
6.227768570000000342e-10 1.424284011999999988e-01
6.266936929999999633e-10 1.369801286999999534e-01
6.306105279999999501e-10 1.304346395000000047e-01
6.345273639999999826e-10 1.230275566999999987e-01
6.384441999999999117e-10 1.149798063999999953e-01
6.423610350000000018e-10 1.064954186999999830e-01
6.462778710000000343e-10 9.775990260999999071e-02
6.501947060000000211e-10 8.893916939000000299e-02
6.541115419999999502e-10 8.017896357999999835e-02
6.580283770000000403e-10 7.160475789999999618e-02
6.619452129999999694e-10 6.332205969000000156e-02
6.658620490000000019e-10 5.541707421000000022e-02
6.697788839999999887e-10 4.795766746999999969e-02
6.736957200000000212e-10 4.099457134000000086e-02
6.776125549999999045e-10 3.456277470000000684e-02
6.815293909999999370e-10 2.868304714000000089e-02
6.854462259999999237e-10 2.336354476000000041e-02
6.893630620000000597e-10 1.860145260999999939e-02
6.932798979999999888e-10 1.438462286999999881e-02
6.971967329999999755e-10 1.069317336999999965e-02
7.011135690000001114e-10 7.501016803999999497e-03
7.050304040000000981e-10 4.777296490000000097e-03
7.089472400000000273e-10 2.487709994999999768e-03
7.128640759999998530e-10 5.957073490000000223e-04
7.167809109999999431e-10 -9.364446940000000809e-04
7.206977469999999756e-10 -2.146736429000000237e-03
7.246145820000000657e-10 -3.072627179999999798e-03
7.285314179999999949e-10 -3.750392314000000008e-03
7.324482529999999816e-10 -4.214599340000000673e-03
7.363650890000001175e-10 -4.497704888000000727e-03
7.402819250000000466e-10 -4.629762718999999235e-03
7.441987599999999300e-10 -4.638231696000000293e-03
7.481155959999999625e-10 -4.547871971000000228e-03
7.520324309999999492e-10 -4.380717323999999691e-03
7.559492669999999817e-10 -4.156111669999999585e-03
7.598661020000000718e-10 -3.890798108000000435e-03
7.637829380000000010e-10 -3.599049500000000602e-03
7.676997740000001369e-10 -3.292830391000000235e-03
7.716166090000000202e-10 -2.981980984999999928e-03
7.755334449999999493e-10 -2.674414968000000427e-03
7.794502800000000394e-10 -2.376324000999999967e-03
7.833671159999999686e-10 -2.092382820000000029e-03
7.872839520000000011e-10 -1.825949919999999898e-03
7.912007870000000912e-10 -1.579259816999999946e-03
7.951176230000000203e-10 -1.353603825000000054e-03
7.990344579999999036e-10 -1.149497122000000138e-03
8.029512940000001430e-10 -9.668306590000000887e-04
8.068681290000000263e-10 -8.050071219999999994e-04
8.107849649999999554e-10 -6.630607100000000202e-04
8.147018009999998845e-10 -5.397609669999999535e-04
8.186186359999999747e-10 -4.337012670000000582e-04
8.225354720000000072e-10 -3.433728449999999760e-04
8.264523070000000973e-10 -2.672254610000000048e-04
8.303691430000000264e-10 -2.037159240000000046e-04
8.342859790000000589e-10 -1.513457780000000035e-04
8.382028140000000457e-10 -1.086894780000000033e-04
8.421196499999999748e-10 -7.441435400000000449e-05
8.460364849999999615e-10 -4.729362499999999902e-05
8.499533209999999940e-10 -2.621364299999999679e-05
8.538701559999999807e-10 -1.017644800000000100e-05
8.577869920000001167e-10 1.701382000000000273e-06
8.617038280000000458e-10 1.019271599999999858e-05
8.656206629999999291e-10 1.596593700000000028e-05
8.695374990000000650e-10 1.959243399999999863e-05
8.734543340000000517e-10 2.155498499999999840e-05
8.773711699999999809e-10 2.225658799999999678e-05
8.812880050000000710e-10 2.202937000000000081e-05
8.852048410000000001e-10 2.114331600000000179e-05
8.891216770000000326e-10 1.981459799999999951e-05
8.930385120000000193e-10 1.821336600000000115e-05
8.969553479999999485e-10 1.647089999999999844e-05
9.008721829999999352e-10 1.468607699999999861e-05
9.047890190000000711e-10 1.293112300000000016e-05
9.087058550000000002e-10 1.125666699999999988e-05
9.126226899999999870e-10 9.696111000000000313e-06
9.165395260000000195e-10 8.269371999999999200e-06
9.204563609999999028e-10 6.986033000000000813e-06
9.243731969999999353e-10 5.847956999999998769e-06
9.282900320000000254e-10 4.851441999999999722e-06
9.322068680000000580e-10 3.988947000000000282e-06
9.361237040000001939e-10 3.250466999999999774e-06
9.400405389999999738e-10 2.624599999999999825e-06
9.439573749999999029e-10 2.099356000000000234e-06
9.478742100000000964e-10 1.662757999999999886e-06
9.517910460000000256e-10 1.303259000000000010e-06
9.557078810000000123e-10 1.010033999999999950e-06
9.596247170000001482e-10 7.731519999999999076e-07
9.635415530000000773e-10 5.836690000000000101e-07
9.674583879999998572e-10 4.336559999999999757e-07
9.713752239999999932e-10 3.161840000000000207e-07
9.752920589999999799e-10 2.252720000000000071e-07
9.792088949999999090e-10 1.558210000000000028e-07
9.831257309999998381e-10 1.035329999999999914e-07
9.870425660000000316e-10 6.479999999999999791e-08
9.909594019999999608e-10 3.670000000000000437e-08
9.948762370000001543e-10 1.680000000000000154e-08
9.987930729999998766e-10 3.199999999999999703e-09
1.002709907999999863e-09 -5.759999999999999962e-09
1.006626743999999999e-09 -1.130000000000000027e-08
1.010543579999999928e-09 -1.430000000000000232e-08
1.014460415000000122e-09 -1.549999999999999983e-08
1.018377251000000051e-09 -1.560000000000000072e-08
1.022294086000000038e-09 -1.480000000000000183e-08
1.026210921999999967e-09 -1.369999999999999694e-08
1.030127756999999954e-09 -1.230000000000000095e-08
1.034044592999999883e-09 -1.080000000000000241e-08
1.037961429000000019e-09 -9.269999999999999628e-09
1.041878264000000212e-09 -7.880000000000000085e-09
